GOM1,GOM2 ,GOM3 ,GOM4 ,GOM5 ,GOM6 ,GOM7 ,GOM8 ,GOM9 ,GOM10 ,GOM11 ,GOM12 ,GOM13 ,GOM14 ,GOM15 ,GOM16 ,GOM17 ,GOM18 ,GOM19 
416,77.6,97.1,193.6,176,85.6,98.8,403,1159,1332,471.8,188.5,189,1018,1052,963,480,532.8,894
417.3,83,97.9,198,177.7,88.2,98.8,423.9,1203.4,1399.7,506.6,192.1,208.9,1022,1058,968,499,574,901
418,85.6,106.9,200.5,184.3,88.5,100.3,995,1271,1405.6,972.4,193,214.4,1033,1058,971,502,660,922
498.1,91.7,127.8,211,212.9,89,135.1,1002,1329,1412.5,975.5,256.2,228.7,1038,1063,971.3,503,663,927
503,96.7,140.5,212.9,214.3,89.8,140.7,1013,1337.3,1416.3,1053,365.3,230.1,1039,1068,973,513,702,933
533,98.2,149.4,215.5,217,91.5,140.8,1020,1345,1419,1070,380.9,349.1,1040,1074,974,517.1,832.5,941
552.5,125.8,151.5,217.1,225.9,93.7,143.4,1031,1406,1425,1091,415.4,366,1043,1077,974.7,525.9,976,943
614,128.6,159,218.4,514,94.8,158.3,1042,1407,1427.8,1107,489.6,398.9,1047,1084,982,539.4,904,948
626,152.2,161.2,227.2,680.4,100.1,160.4,1044,1416,1428,1164.5,503,411.8,1049,1085,986.3,604.7,916,950
641,161.8,161.7,228.6,1020.7,101.7,162.3,1069,1421.5,1433.2,1170,610.4,430.2,1058,1085,990,858,961,957.2
915,161.8,164.1,232.7,1038,109,165.2,1078,1425,1440.8,1198,945,579.7,1059,1088,990.9,990,948,966
931,169,165,249.6,1054,136.5,167.8,1109,1429.9,1442.6,1199.2,976,582,1065,1096,997,961,991,969
950,171.5,166.7,254.4,1083,140.2,168.4,1113,1431.5,1444.1,1216,1032,949,1065,1110,1007,925,1004,979
964,171.8,166.8,379.8,1106,146.6,169.5,1131,1432,1450,1243,1066.9,934.7,1070,1110,1013,967.8,957.4,980
979,171.8,166.9,427.6,1114,147.1,171.2,1173,1432.3,1450.3,1267.5,1095.9,989,1078,1110,1017,982.6,971,984
983,172.7,168.8,462.1,1133.9,147.1,171.7,1184,1438.1,1450.6,1336,1104,1029.7,1079,1113,1026,974,1010,984
1001,177,169.8,526.3,1140,153.5,180.3,1207,1450.5,1457.7,1379,1126,1046,1081,1116,1028,911,988,996
1017,181.8,171.5,549.6,1200.8,157.7,187.9,1215,1452.6,1460,1404.7,1126,974.1,1083,1122,1029,956,1029,997
1056,190.6,177.5,552.6,1229.7,160.8,191.2,1220,1453,1474.3,1408,1174,1069.4,1085,1125,1029,1007,857,1001
1072,191.3,177.9,574,1249.8,161.1,192.3,1230,1455.1,1477,1417,1186,1080,1094,1127,1032,1012,978,1010
1073,198,180.4,927,1406.7,164.3,193,1233,1460,1513,1417.2,1241.4,1085,1102,1134,1035,1012,984,1034
1085,208.9,188.3,959.7,1408.3,165.3,194.8,1274,1460,1633.8,1418.4,1254,1092.2,1107,1145,1036,945,991,1035
1091,221.5,203.4,978,1414.5,165.4,197.4,1341,1469.8,1646,1420.2,1395,1112,1119,1147,1036,1020,1039,1055
1096,222.2,204.4,997,1417.8,165.7,219.8,1383,1536,1649,1421,1398,1125.1,1129,1148,1043,1027,992.9,1057
1101,225.3,204.7,1022.3,1419,165.9,227.8,1394,1543,1665,1423.1,1402.9,1145,1132,1151,1044,976,1044,1076
1106,225.9,213.6,1028,1421,173,234.2,1396,1627,1667,1426.9,1422.3,1176,1136,1155,1045,1033,975,1091
1109,227.4,223.5,1029,1433.5,174.1,257.8,1408,1646,1673,1428,1423.9,1191,1156,1159,1046,1034,1050,1095
1142,229.1,242.7,1036,1434.4,188.3,474,1421,1646,1675,1433,1424.1,1208.1,1169,1167,1051,980,1050,1098
1145,229.5,257.4,1036,1446.4,191.3,626.4,1424,1651,1676.3,1435,1425.8,1228,1169,1169,1052,1038,1051,1099
1158,230.7,277,1039,1447.2,198.5,969,1430,1657.8,1676.7,1438.6,1429.5,1270,1172,1175,1052,1045,1053,1105
1161,231,406.1,1040,1460.3,212,971.3,1432,1660.7,1686.2,1439,1430,1427.3,1173,1191,1052,1045,963,1105
1182,231.3,434.4,1042.9,1462.5,218.7,990,1434,1670,1689.5,1440,1431,1430,1173,1202,1064,1045,1058,1110
1199,245.3,983,1046.8,1463.8,220.3,995.4,1446,1674,1689.6,1447,1432.4,1430.4,1175,1202,1068,1046,1062,1111
1227,253.5,984.8,1051,1605,226.9,998,1448,1675,1690,1450.6,1436,1431.5,1176,1203,1074,1047,1070,1111
1233,256.5,999.7,1051,1642.1,229,1122,1452,1676.8,1690.6,1483,1436.2,1435.4,1183,1212,1079,1050,1076,1112
1360,275,1022,1068,1676,229.4,1123,1454,1676.9,1691.3,1487,1440.5,1440.8,1183,1215,1084,1051,991,1123
1360,478,1027,1076,1680.6,231.6,1135,1455,1678,1692.4,1498.1,1443.9,1440.9,1185,1218,1086,1051,1079,1123
1372,607.7,1044,1079,1684.4,234.8,1136,1455,1679,1694,1516,1454,1442.8,1187,1222,1087,1062,1081,1126
1396,990.1,1052,1082,1687,236.9,1141.6,1463,1681.3,1700,1525,1461.6,1446,1197,1227,1092,1064,1082,1129
1404,1019,1053,1084,1688.7,265.9,1158,1467,1682,1701.8,1659.5,1514.7,1449.9,1199,1235,1105,1065,1087,1134
1410,1075,1058.7,1090.4,1695.4,266.7,1169,1487,1683,1703,1675.1,1537,1453,1202,1241,1109,1070,1089,1139
1411,1098,1061,1104,1696.7,349.8,1199,1495,1683.7,1703.8,1678,1614,1477,1212,1254,1110,1077,1095,1145
1412,1102,1078,1116.3,1700,363.1,1210,1547,1684.7,1708,1685.8,1629,1590,1231,1256,1117,1091,1097,1148
1419,1123,1094.6,1123,1712.5,537.6,1324,1581,1685.1,1708.7,1690.3,1643.4,1597,1252,1261,1127,1091,977,1153
1422,1127,1106,1127.1,1745.6,953.9,1387,1610,1696,1710,1693.1,1648,1648.4,1256,1276,1128,1092,1106,1155
1437,1130,1131.6,1134,1746.2,1061,1406.9,1635,1696.3,1715.4,1717.1,1660.9,1657.8,1300,1283,1137,1093,1109,1157
1438,1148,1144,1147,1750.1,1070,1410.4,1684,1697.3,1715.5,1718.3,1667,1687.3,1316,1304,1141,1102,1122,1168
1439,1148,1152.6,1151,1764.2,1085,1412.1,1685,1698.6,1725.7,1720.4,1670.4,1688.1,1336,1345,1143,1109,1126,1168
1455,1171,1186.2,1152.1,1890.3,1097,1412.5,1689,1704.1,1731,1721.3,1673.5,1688.5,1365,1350,1143,1111,1136,1174
1461,1218,1298,1179,1903,1132,1421,1694,1704.9,1731.2,1724.6,1682.4,1693.8,1381,1369,1144,1138,1145,1174
1466,1219,1312.4,1189.6,2055.5,1140,1429,1711,1712,1732.7,1728,1686.4,1700,1394,1373,1153,1143,1150,1175
1530,1373.5,1335.6,1198.3,,1140,1459,1711,1716.2,1738.3,1729,1687.1,1701,1412,1388,1154,1143,1151,1181
1612,1409,1404,1199.1,,1142.1,1486.1,1714,1717.7,1780.8,1741,1689,1706.1,1422,1423,1156,1144,1151,1185
1638,1421.9,1412,1200,,1145,1495,1715,1723,1799,1748.6,1691.7,1707.8,1431,1439,1157,1145,1152,1190
1645,1422,1418.7,1250,,1147.6,1595,1722,1725,1841.2,1753.4,1694.6,1712.2,1432,1440,1158,1147,1153,1197
1645,1425.2,1420.1,1324,,1194.5,1619.4,1725,1729,2032.8,1801.5,1695.6,1713.9,1442,1442,1159,1149,1153,1198
1657,1426.1,1424.7,1354.2,,1384,1659,1729,1730,2044.9,2674,1698.7,1716.4,1443,1444,1165,1150,1154,1205
1658,1427,1432.4,1410,,1392,1668.6,1740,1732,2094.4,2711.5,1699.9,1717,1478,1451,1166,1151,1159,1206
1667,1432,1438.5,1428.7,,1403.9,1670.9,1754,1733.6,2569.4,2737.9,1702.1,1722.8,1498,1458,1178,1154,1160,1208
1670,1435.4,1443.3,1445,,1409.4,1675.3,1762,1733.8,,2923.4,1706.5,1723.2,1520,1486,1179,1158,1160,1215
1671,1452,1446,1447.3,,1415.5,1689.1,1773,1734,,,1711,1728,1640,1494,1185,1166,1161,1220
1675,1478.7,1453.6,1493.6,,1422,1693.4,1810,1735,,,1712.5,1743,1651,1585,1192,1172,1162,1224
1679,1636,1465,1508,,1432.2,1711,1873,1737.3,,,1712.5,1754.8,1663,1637,1193,1173,1164,1225
1680,1663,1499,1652,,1436.8,1724,1899,1741.5,,,1713,1770,1664,1659,1200,1174,1167,1226
1690,1664,1629.2,1666.1,,1438.8,1738.2,1925,1758.9,,,1713,1811.2,1681,1676,1202,1176,1168,1228
1698,1670,1636,1680.6,,1445.6,1742.8,2709,1763,,,1713.4,1824.5,1688,1685,1203,1177,1172,1249
1700,1677,1641.6,1693.9,,1450,1760.9,,1763.5,,,1715.9,1841.2,1689,1732,1204,1178,1173,1254
1704,1691.4,1643.4,1708.4,,1452.1,1816.3,,1767,,,1718.6,1901.6,1699,1764,1213,1178,1176,1296
1707,1693.1,1651.5,1740.7,,1469.1,2265,,1768,,,1726.8,1930.8,1705,1772,1213,1178,1178,1309
1713,1741.6,1655,1750,,1636,2875.5,,1834,,,1733.7,2493.7,1713,1791,1214,1181,1183,1319
1715,2685,1665,1780.9,,1643.2,,,1853.6,,,1788.7,2766,1776,1812,1223,1183,1185,1358
1736,2729.5,1677.9,1806,,1657,,,1957.2,,,1796,,1790,1838,1224,1204,1201,1405
1799,,1679,1831,,1674.5,,,2049.9,,,1816.4,,1790,1842,1224,1212,1210,1425
1801,,1692.6,1880.6,,1682,,,2112,,,1970.8,,1955,1843,1234,1215,1211,1429
2512,,1693.9,1963.9,,1688.5,,,2484,,,2694.7,,2589.1,3254,1250,1229,1214,1455
2517,,1694.3,2548.2,,1691,,,2645,,,2712,,2630.4,,1252,1239,1216,1458
2776,,1717.6,2774.4,,1750,,,,,,3092,,2652,,1284,1244,1220,1459
,,1886.4,,,1862.3,,,,,,3178,,2755,,1285,1246,1249,1473
,,,,,2568.5,,,,,,,,3678.7,,1302,1247,1250,1747
,,,,,2790.6,,,,,,,,,,1355,1249,1255,
,,,,,,,,,,,,,,,1383,1288,1255,
,,,,,,,,,,,,,,,1438,1301,1295,
,,,,,,,,,,,,,,,1477,1331,1320,
,,,,,,,,,,,,,,,1479,1339,1412,
,,,,,,,,,,,,,,,,1345,1418,
,,,,,,,,,,,,,,,,1406,1441,
,,,,,,,,,,,,,,,,1414,1449,
,,,,,,,,,,,,,,,,1456,1469,
,,,,,,,,,,,,,,,,1471,2537,
,,,,,,,,,,,,,,,,1478,,
,,,,,,,,,,,,,,,,1637,,
,,,,,,,,,,,,,,,,1657,,
